parsing,dataset_size,min,max,mean,stdev,ci95_min,ci95_max
PDB,250,11833.509146,13030.597955,12431.2224276,464.641554989435,11854.2937367375,13008.1511184625
MMTF,250,723.558309,866.91278,802.919268,62.4427939540007,725.386298805069,880.45223719493
PDB,500,26369.083872,26898.067087,26580.8071336,223.961439021381,26302.7222777992,26858.8919894008
MMTF,500,1569.97484,1640.740413,1600.7413864,28.158885500955,1565.77751204618,1635.70526075382
PDB,750,33013.184005,35078.590873,33961.4139982,788.110590237093,32982.8454517627,34939.9825446373
MMTF,750,2312.848798,2596.322842,2459.9941802,106.322931855599,2327.97682353996,2592.01153686004
PDB,1000,42189.802763,46252.300408,44504.157601,1509.99398341277,42629.2524344132,46379.0627675868
MMTF,1000,2585.454166,3409.283321,2971.5716692,313.41151787102,2582.41987086229,3360.72346753771-
PDB,1250,50377.673194,54000.506328,52206.892393,1425.81782623067,50436.5057302866,53977.2790557134
MMTF,1250,3765.744488,3913.611049,3857.4794256,65.9986455418952,3775.53128350571,3939.42756769429
PDB,1500,64964.778695,68318.808829,66746.7356064,1195.4613177968,65262.3743269424,68231.0968858577
MMTF,1500,3525.680037,4736.117479,4257.0023356,446.485058745796,3702.61791245526,4811.38675874474
PDB,1750,79058.832725,85822.037822,81905.8472936,2627.33460764251,78643.5805002662,85168.1140869338
MMTF,1750,4531.096768,4723.463834,4638.310113,71.2783118333399,4549.80639934952,4726.81382665048
PDB,2000,84272.176655,88402.913123,86458.3504998,1474.13771446415,84627.9667714737,88288.7342281263
MMTF,2000,5231.243072,6414.630365,5516.626756,505.797068687071,4888.59674545483,6144.65676654517
